term,code,reference,see_also,type,indent_level
Abandonment (causing exposure to weather conditions) (with intent to injure or kill) NEC,X58,,,code,0
Abuse (adult) (child) (mental) (physical) (sexual),X58,,,code,0
Accident (to),X58,,,code,0
aircraft (in transit) (powered),,,"Accident, transport, aircraft",see_also,0
"due to, caused by cataclysm",,"Forces of nature, by type",,see,0
animal-drawn vehicle,,"Accident, transport, animal-drawn vehicle occupant",,see,0
animal-rider,,"Accident, transport, animal-rider",,see,0
automobile,,"Accident, transport, car occupant",,see,0
barefoot water skier,V94.4,,,code,0
"boat, boating",,,"Accident, watercraft",see_also,0
powered,V94.11,,,code,0
unpowered,V94.12,,,code,0
bus,,"Accident, transport, bus occupant",,see,0
"cable car, not on rails",V98.0,,,code,0
on rails,,"Accident, transport, streetcar occupant",,see,0
car,,"Accident, transport, car occupant",,see,0
animal NEC,W64,,,code,0
chain hoist,W24.0,,,code,0
cold (excessive),,"Exposure, cold",,see,0
"corrosive liquid, substance",,Table of Drugs and Chemicals,,see,0
cutting or piercing instrument,,"Contact, with, by type of instrument",,see,0
drive belt,W24.0,,,code,0
current,,"Exposure, electric current",,see,0
motor,W31.3,,"Contact, with, by type of machine",code_with_see_also,0
current (of),W86.8,,,code,0
environmental factor NEC,X58,,,code,0
explosive material,,Explosion,,see,0
"fire, flames",,"Exposure, fire",,see,0
firearm missile,,"Discharge, firearm by type",,see,0
heat (excessive),,Heat,,see,0
hot,,"Contact, with, hot",,see,0
ignition,,Ignition,,see,0
lifting device,W24.0,,,code,0
lightning,T75.0,subcategory,,code_with_see,0
causing fire,,"Exposure, fire",,see,0
"machine, machinery",,"Contact, with, by type of machine",,see,0
natural factor NEC,X58,,,code,0
pulley (block),W24.0,,,code,0
radiation,,Radiation,,see,0
steam,X13.1,,,code,0
inhalation,X13.0,,,code,0
pipe,X16,,,code,0
thunderbolt,T75.0,subcategory,,code_with_see,0
causing fire,,"Exposure, fire",,see,0
transmission device,W24.1,,,code,0
coach,,"Accident, transport, bus occupant",,see,0
coal car,,"Accident, transport, industrial vehicle occupant",,see,0
diving,,,"Fall, into, water",see_also,0
drowning or submersion,,Drowning,,see,0
forklift,,"Accident, transport, industrial vehicle occupant",,see,0
heavy transport vehicle NOS,,"Accident, transport, truck occupant",,see,0
ice yacht,V98.2,,,code,0
"as, or due to misadventure",,Misadventure,,see,0
causing an abnormal reaction or later complication without mention of misadventure,,,Complication of or,see_also,0
"following, by type of procedure",Y84.9,,,code,0
land yacht,V98.1,,,code,0
late effect of,,W00-X58 with 7th character S,,see,0
logging car,,"Accident, transport, industrial vehicle occupant",,see,0
"machine, machinery",,,"Contact, with, by type of machine",see_also,0
on board watercraft,V93.69,,,code,0
explosion,,"Explosion, in, watercraft",,see,0
fire,,"Burn, on board watercraft",,see,0
powered craft,V93.63,,,code,0
ferry boat,V93.61,,,code,0
fishing boat,V93.62,,,code,0
jetskis,V93.63,,,code,0
liner,V93.61,,,code,0
merchant ship,V93.60,,,code,0
passenger ship,V93.61,,,code,0
sailboat,V93.64,,,code,0
mine tram,,"Accident, transport, industrial vehicle occupant",,see,0
mobility scooter (motorized),,"Accident, transport, pedestrian, conveyance, specified type NEC",,see,0
motor scooter,,"Accident, transport, motorcycle",,see,0
motor vehicle NOS (traffic),V89.2,,"Accident, transport",code_with_see_also,0
nontraffic,V89.0,,,code,0
three-wheeled NOS,,"Accident, transport, three-wheeled motor vehicle occupant",,see,0
motorcycle NOS,,"Accident, transport, motorcycle",,see,0
nonmotor vehicle NOS (nontraffic),V89.1,,"Accident, transport",code_with_see_also,0
traffic NOS,V89.3,,,code,0
nontraffic (victim's mode of transport NOS),V88.9,,,code,0
collision (between),V88.7,,,code,0
bus and truck,V88.5,,,code,0
bus,V88.3,,,code,0
pickup,V88.2,,,code,0
three-wheeled motor vehicle,V88.0,,,code,0
train,V88.6,,,code,0
truck,V88.4,,,code,0
two-wheeled motor vehicle,V88.0,,,code,0
van,V88.2,,,code,0
three-wheeled motor vehicle,V88.1,,,code,0
two-wheeled motor vehicle,V88.1,,,code,0
known mode of transport,,"Accident, transport, by type of vehicle",,see,0
noncollision,V88.8,,,code,0
on board watercraft,V93.89,,,code,0
powered craft,V93.83,,,code,0
ferry boat,V93.81,,,code,0
fishing boat,V93.82,,,code,0
jetskis,V93.83,,,code,0
liner,V93.81,,,code,0
merchant ship,V93.80,,,code,0
passenger ship,V93.81,,,code,0
unpowered craft,V93.88,,,code,0
canoe,V93.85,,,code,0
inflatable,V93.86,,,code,0
recreational,V94.31,,,code,0
specified NEC,V94.32,,,code,0
kayak,V93.85,,,code,0
sailboat,V93.84,,,code,0
surf-board,V93.88,,,code,0
water skis,V93.87,,,code,0
windsurfer,V93.88,,,code,0
parachutist,V97.29,,,code,0
entangled in object,V97.21,,,code,0
injured on landing,V97.22,,,code,0
pedal cycle,,"Accident, transport, pedal cyclist",,see,0
another pedestrian,W51,,,code,0
with fall,W03,,,code,0
due to ice or snow,W00.0,,,code,0
on pedestrian conveyance NEC,V00.09,,,code,0
hoverboard,V00.038,,,code,0
Segway,V00.038,,,code,0
electric scooter,V00.031,,,code,0
micro-mobility pedestrian conveyance NEC,V00.038,,,code,0
roller skater (in-line),V00.01,,,code,0
skate boarder,V00.02,,,code,0
transport vehicle,,"Accident, transport",,see,0
on pedestrian conveyance,,"Accident, transport, pedestrian, conveyance",,see,0
pick-up truck or van,,"Accident, transport, pickup truck occupant",,see,0
quarry truck,,"Accident, transport, industrial vehicle occupant",,see,0
railway vehicle (any) (in motion),,"Accident, transport, railway vehicle occupant",,see,0
due to cataclysm,,"Forces of nature, by type",,see,0
scooter (non-motorized),,"Accident, transport, pedestrian, conveyance, scooter",,see,0
sequelae of,,W00-X58 with 7th character S,,see,0
skateboard,,"Accident, transport, pedestrian, conveyance, skateboard",,see,0
ski (ing),,"Accident, transport, pedestrian, conveyance",,see,0
lift,V98.3,,,code,0
specified cause NEC,X58,,,code,0
streetcar,,"Accident, transport, streetcar occupant",,see,0
traffic (victim's mode of transport NOS),V87.9,,,code,0
collision (between),V87.7,,,code,0
bus and truck,V87.5,,,code,0
bus,V87.3,,,code,0
pickup,V87.2,,,code,0
three-wheeled motor vehicle,V87.0,,,code,0
train,V87.6,,,code,0
truck,V87.4,,,code,0
two-wheeled motor vehicle,V87.0,,,code,0
van,V87.2,,,code,0
specified vehicle NEC,V86.39,,,code,0
three-wheeled motor vehicle,V87.1,,,code,0
two-wheeled motor vehicle,V87.1,,,code,0
driver,V86.09,,,code,0
person on outside,V86.29,,,code,0
passenger,V86.19,,,code,0
while boarding or alighting,V86.49,,,code,0
known mode of transport,,"Accident, transport, by type of vehicle",,see,0
noncollision,V87.8,,,code,0
transport (involving injury to),V99,,,code,0
18 wheeler,,"Accident, transport, truck occupant",,see,0
agricultural vehicle occupant (nontraffic),V84.9,,,code,0
driver,V84.5,,,code,0
hanger-on,V84.7,,,code,0
passenger,V84.6,,,code,0
traffic,V84.3,,,code,0
driver,V84.0,,,code,0
hanger-on,V84.2,,,code,0
passenger,V84.1,,,code,0
while boarding or alighting,V84.4,,,code,0
aircraft NEC,V97.89,,,code,0
military NEC,V97.818,,,code,0
with civilian aircraft,V97.810,,,code,0
civilian injured by,V97.811,,,code,0
nonpowered craft accident,V96.9,,,code,0
balloon,V96.00,,,code,0
collision,V96.03,,,code,0
crash,V96.01,,,code,0
explosion,V96.05,,,code,0
fire,V96.04,,,code,0
forced landing,V96.02,,,code,0
specified type NEC,V96.09,,,code,0
glider,V96.20,,,code,0
collision,V96.23,,,code,0
crash,V96.21,,,code,0
explosion,V96.25,,,code,0
fire,V96.24,,,code,0
forced landing,V96.22,,,code,0
specified type NEC,V96.29,,,code,0
hang glider,V96.10,,,code,0
collision,V96.13,,,code,0
crash,V96.11,,,code,0
explosion,V96.15,,,code,0
fire,V96.14,,,code,0
